ID	anatomical structure	type (is-a)	part of	develops from	starts at stage	ends at stage	similar to UBERON term	description	synonyms	UBERON (is-a)	UBERON (non-exact)	cell type (is-a)	cell type (non-exact)	Pubmed id
ID	A rdfs:label	C %	C  'part of' some %	C  'develops from' some %	C  'existence starts during' some %	C  'existence ends during' some %	A oboInOwl:hasDbXref	A obo:IAO_0000115	A oboInOwl:hasExactSynonym			A oboInOwl:hasDbXref		
UBERON:0000061	anatomical structure													
CL:0000000	cell													
GO:0005575	cellular component		cell											
AMPHX:1000001	whole organism	anatomical structure			zygote period	adult-A stage								
AMPHX:1000002	blastomere	cell	whole organism				NCIT:C12518							
AMPHX:1000003	whole oocyte	cell					NCIT:C12598							
AMPHX:1000004	tissue	anatomical structure	whole organism				NCIT:C12801							
AMPHX:1000005	embryonic territory		whole organism				NCIT:C34144							
AMPHX:1000006	central nervous system		whole organism				NCIT:C12438							
AMPHX:1000007	vegetal pole cytoplasm	cellular component			unfertilized egg stage	1-cell stage								
AMPHX:1000008	vegetal pole cytoplasm of oocyte	vegetal pole cytoplasm	whole oocyte											
AMPHX:1000009	vegetal pole cytoplasm of embryo	vegetal pole cytoplasm	whole organism											
AMPHX:1000010	animal pole cytoplasm	cellular component			unfertilized egg stage	1-cell stage								
AMPHX:1000011	animal pole cytoplasm of oocyte	animal pole cytoplasm	whole oocyte											
AMPHX:1000012	animal pole cytoplasm of embryo	animal pole cytoplasm	whole organism											
AMPHX:1000013	zygote	cell	whole organism		1-cell stage	1-cell stage	SPD:0000786	diploid cell produced by fusion of sperm cell nucleus and egg cell				CL:0000365		
AMPHX:1000014	2-cell stage embryo	whole organism			2-cell stage	2-cell stage	UBERON:0007232							
AMPHX:1000015	4-cell stage embryo	whole organism			4-cell stage	4-cell stage	UBERON:0007233							
AMPHX:1000016	blastomere of 2-cell stage embryo	blastomere	whole organism	zygote	2-cell stage	2-cell stage		cell of the embryo, before the formation of germ layers is complete				CL:0000007		
AMPHX:1000017	blastomere of 4-cells stage embryo	blastomere	whole organism	2-cell stage embryo	4-cell stage	4-cell stage		cell of the embryo, before the formation of germ layers is complete				CL:0000007		
AMPHX:1000018	micromere	blastomere	whole organism	4-cell stage embryo	8-cell stage	8-cell stage		cell located at the animal pole of the embryo, of small size						
AMPHX:1000019	macromere	blastomere	whole organism	4-cell stage embryo	8-cell stage	8-cell stage		cell located at the vegetal pole of the embryo, of big size						
AMPHX:1000020	animal blastomere	blastomere	whole organism	micromere	16-cell stage	blastula stage		cell located at the animal pole of the embryo, before gastrulation starts						
AMPHX:1000021	vegetal blastomere	blastomere	whole organism	macromere	16-cell stage	blastula stage		cell located at the vegetal pole of the embryo, before gastrulation starts						
AMPHX:1000022	presumptive ectoderm	embryonic territory	whole organism	animal blastomere	gastrula-G0 stage	gastrula-G2 stage	UBERON:0006601							
AMPHX:1000023	dorsal presumptive ectoderm	embryonic territory	presumptive ectoderm	animal blastomere	gastrula-G0 stage	gastrula-G2 stage								
AMPHX:1000024	ventral presumptive ectoderm	embryonic territory	presumptive ectoderm	animal blastomere	gastrula-G0 stage	gastrula-G2 stage								
AMPHX:1000025	presumptive mesendoderm	embryonic territory	whole organism	vegetal blastomere	gastrula-G0 stage	gastrula-G2 stage								
AMPHX:1000026	dorsal presumptive mesendoderm	embryonic territory	presumptive mesendoderm	vegetal blastomere	gastrula-G0 stage	gastrula-G2 stage	UBERON:0006603							
AMPHX:1000027	ventral presumptive mesendoderm	embryonic territory	presumptive mesendoderm	vegetal blastomere	gastrula-G0 stage	gastrula-G2 stage	UBERON:0006595							
AMPHX:1000028	blastopore lip	anatomical structure	whole organism	vegetal blastomere	gastrula-G0 stage	neurula-N0 stage	UBERON:3010455							
AMPHX:1000029	dorsal blastopore lip	anatomical structure	blastopore lip	vegetal blastomere	gastrula-G0 stage	neurula-N0 stage	UBERON:3010457							
AMPHX:1000030	ventral blastopore lip	anatomical structure	blastopore lip	vegetal blastomere	gastrula-G0 stage	neurula-N0 stage	UBERON:3010456							
AMPHX:1000031	ectoderm	embryonic territory	whole organism	presumptive ectoderm	gastrula-G3 stage	neurula-N0 stage	UBERON:0000924							
AMPHX:1000032	dorsal ectoderm	embryonic territory	ectoderm	dorsal presumptive ectoderm	gastrula-G3 stage	gastrula-G3 stage								
AMPHX:1000033	ventral ectoderm	embryonic territory	ectoderm	ventral presumptive ectoderm	gastrula-G3 stage	gastrula-G3 stage								
AMPHX:1000034	anterior ectoderm	embryonic territory	ectoderm	presumptive ectoderm	gastrula-G3 stage	gastrula-G3 stage	UBERON:6000119							
AMPHX:1000035	posterior ectoderm	embryonic territory	ectoderm	presumptive ectoderm	gastrula-G3 stage	gastrula-G3 stage								
AMPHX:1000036	mesendoderm	embryonic territory	whole organism	presumptive mesendoderm	gastrula-G3 stage	neurula-N0 stage								
