ID	stage	part of stage	stage preceded by 	Obsolete	dev stage	synonyms	reference	definition	Xrefs
ID	A rdfs:label	C 'part of' some %	C 'immediately preceded by' some %	AT owl:deprecated^^xsd:boolean	C %	A oboInOwl:hasExactSynonym SPLIT=|	A obo:IAO_0000301	A obo:IAO_0000115	A oboInOwl:hasDbXref
AMPHX:0000001	gametogenesis				obo:UBERON_0000105				NCIT:C16599
AMPHX:0000002	oogenesis	gametogenesis							NCIT:C16938
AMPHX:0000003	spermatogenesis	gametogenesis							
AMPHX:0000004	gamete stage		gametogenesis		obo:UBERON_0000105				
AMPHX:0000005	unfertilized egg stage	gamete stage	oogenesis						
AMPHX:0000006	spermatozoid stage	gamete stage	spermatogenesis						
AMPHX:0000007	embryonic development		gamete stage		obo:UBERON_0000105				UBERON:0000068
AMPHX:0000008	zygote period	embryonic development							UBERON:0000106
AMPHX:0000009	cleavage period	embryonic development	zygote period						UBERON:0000107
AMPHX:0000010	blastula period	embryonic development	cleavage period						UBERON:0000108
AMPHX:0000011	gastrula period	embryonic development	blastula period						UBERON:0000109
AMPHX:0000012	neurula period	embryonic development	gastrula period						UBERON:0000110
AMPHX:0000013	tailbud period	embryonic development	neurula period						
AMPHX:0000014	larval development		embryonic development		obo:UBERON_0000105				UBERON:0000069
AMPHX:0000015	larva period	larval development	tailbud period						UBERON:0000069
AMPHX:0000016	metamorphosis		larval development		obo:UBERON_0000105				
AMPHX:0000017	juvenile		metamorphosis		obo:UBERON_0000105				
AMPHX:0000018	juvenile period	juvenile	larva period						UBERON:0034919
AMPHX:0000019	adult		juvenile		obo:UBERON_0000105				
AMPHX:0000020	adult period	adult	juvenile period						UBERON:0000113
AMPHX:0000022	1-cell stage	zygote period	unfertilized egg stage					"fertilized egg: time since fertilization is 0min, corresponding to 0.00% of development"	
AMPHX:0000023	2-cell stage	cleavage period	1-cell stage				Hirakow and Kajita 1990		UBERON:0007232
AMPHX:0000024	4-cell stage	cleavage period	2-cell stage				Hirakow and Kajita 1990		UBERON:0007233
AMPHX:0000025	8-cell stage	cleavage period	4-cell stage				Hirakow and Kajita 1990		UBERON:0007236
AMPHX:0000026	16-cell stage	cleavage period	8-cell stage				Hirakow and Kajita 1990		
AMPHX:0000027	32-cell stage	cleavage period	16-cell stage				Hirakow and Kajita 1990		
AMPHX:0000028	64-cell stage	cleavage period	32-cell stage				Hirakow and Kajita 1990		
AMPHX:0000029	128-cell stage	cleavage period	64-cell stage				Hirakow and Kajita 1990		
AMPHX:0000030	256-cell stage			TRUE					
AMPHX:0000031	blastula stage	blastula period	128-cell stage				Hirakow and Kajita 1990	initiation of asynchronous cell division	UBERON:0000108
AMPHX:0000032	gastrula-G0 stage	gastrula period	blastula stage					initial flattening of the vegetal zone	
AMPHX:0000033	gastrula-G1 stage	gastrula period	gastrula-G0 stage			very early gastrula	Hirakow and Kajita 1991	flattened vegetal pole	
AMPHX:0000034	gastrula-G2 stage	gastrula period	gastrula-G1 stage			very early gastrula	Hirakow and Kajita 1991	"invaginated vegetal pole, mesendoderm does not touch ectoderm"	
AMPHX:0000035	gastrula-G3 stage	gastrula period	gastrula-G2 stage			early gastrula	Hirakow and Kajita 1991	"cap shaped, mesendoderm touches ectoderm"	
AMPHX:0000036	gastrula-G4 stage	gastrula period	gastrula-G3 stage			mid-gastrula	Hirakow and Kajita 1991	cup shaped	
AMPHX:0000037	gastrula-G5 stage	gastrula period	gastrula-G4 stage			late gastrula	Hirakow and Kajita 1991	"vase shaped, due to body elongation during blastopore closure"	
AMPHX:0000038	gastrula-G6 stage	gastrula period	gastrula-G5 stage			very late gastrula	Hirakow and Kajita 1991	"bottle shaped, flattening neuroectoderm"	
AMPHX:0000039	gastrula G7 stage			TRUE					
AMPHX:0000040	neurula-N0 stage	neurula period	gastrula-G6 stage			very early neurula		"neural plate, just before blastopore closure"	
AMPHX:0000041	neurula-N1 stage	neurula period	neurula-N0 stage			very early neurula	Hirakow and Kajita 1994	1-3 somite pairs	
AMPHX:0000042	neurula-N2 stage	neurula period	neurula-N1 stage			early neurula		"4-5 somite pairs, hatching"	
AMPHX:0000043	neurula-N3 stage	neurula period	neurula-N2 stage			mid-neurula	Hirakow and Kajita 1994	6-7 somite pairs	
AMPHX:0000044	neurula-N4 stage	neurula period	neurula-N3 stage			late neurula		"8-9 somite pairs, prior to schizocoelic somite formation"	
AMPHX:0000045	tailbud-T0 stage	tailbud period	neurula-N4 stage			early premouth		"12 somite pairs, tailbud shape, enlarged pharyngeal region"	
